molecule_chembl_id,target_chembl_id,assay_chembl_id,pchembl_value,standard_relation,standard_type
CHEMBL1112,CHEMBL224,CHEMBL5145823,7.55,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL5145824,8.25,=,Ki
CHEMBL1112,CHEMBL3155,CHEMBL5145825,8.0,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL5145883,9.52,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL5236912,9.47,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL5236913,9.1,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL5236915,7.42,=,EC50
CHEMBL1112,CHEMBL217,CHEMBL5236916,8.62,=,EC50
CHEMBL1112,CHEMBL217,CHEMBL5236927,7.42,=,IC50
CHEMBL1112,CHEMBL234,CHEMBL5236929,7.09,=,IC50
CHEMBL1112,CHEMBL217,CHEMBL5236933,9.0,=,IC50
CHEMBL1112,CHEMBL224,CHEMBL5336975,7.68,=,Ki
CHEMBL1112,CHEMBL1833,CHEMBL5365375,9.44,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL5628221,7.68,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL5635423,7.68,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL5732168,8.0,=,IC50
CHEMBL1118,CHEMBL222,CHEMBL5733766,6.17,=,Ki
CHEMBL1118,CHEMBL228,CHEMBL5733768,8.39,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL6085112,9.1,=,Ki
CHEMBL1112,CHEMBL228,CHEMBL6085114,7.01,=,Ki
CHEMBL1113,CHEMBL222,CHEMBL6140294,7.84,=,IC50
CHEMBL118,CHEMBL230,CHEMBL768963,6.64,=,IC50
CHEMBL122,CHEMBL230,CHEMBL768963,6.47,=,IC50
CHEMBL1200438,CHEMBL3522,CHEMBL661140,6.3,=,Ki
CHEMBL118,CHEMBL230,CHEMBL768958,6.0,=,IC50
CHEMBL122,CHEMBL230,CHEMBL763081,6.3,=,IC50
CHEMBL118,CHEMBL230,CHEMBL763081,6.0,=,IC50
CHEMBL122,CHEMBL230,CHEMBL768958,6.3,=,IC50
CHEMBL122,CHEMBL230,CHEMBL763081,6.3,=,IC50
